,0
50,3110715001
1902,886561483
839b2d,3411571567
25b3c186,2810839107
618e5f59ab,577477912
6ff036f4b08f,4263182345
ca985308200e02,4143127587
de3d7bd0ed7963e6,798836893
e3d250004097f6d7e1,1376140886
0e8ed9fa53f16cf6cb37,634152031
693765559bca48a31fb0d1,2844371865
76270d4654116a06126058f2,3801033360
1472ae0dabc4499338ed12c75c,2075315978
10c3597140334abf01f5ff884e1a,2265952540
3fdbde388731bf651af0e3adec5812,348676354
d20bbfb8ec1406a9c590ac582b24685e,1718642130
440e830c7ea2e1e77c2f4fb9575fc3ee53,1411023634
7c7f23928a38f8b68ddfcd5059ce244318ea,2373372176
f22771ffd111aff3fce4ef68d0beefcfa7085f,545608193
28045d2d87c6f736a075f513ae3260c29eb87438,3976156986
0e15c29dfa186f0df6c0c2724adb1fa22ebe589279,3998723923
033676138cfbd3d21261f971b40f2379c1a43ec56c18,2858076828
cd5d7dc1135024f93890add4c60aa13df78dd897caab0a,531049812
fdb0ab853daceeced813bf4f1935feaa831dce6238a18114,1117027966
ab64d200c2fa2afa34000e77e69afe927fb42c1247108a109d,1457080244
de4efb9edc7a41733fad91e782df3967d05381b02d490e53e0c2,1435906322
3e779cd54390a3e6e58a08f9dfbb74aeadfc4e3697cfbe9d2335cc,2089134219
8c0e9366f1807134462acc57ebeeda68db52f1060d7baf8e9e01f807,1871161219
290c9400ae530d5a91308cf412ff3cd5211f464ab7c5151f09233edff0,3076473111
edba56e6c79ab3a551fa4f025854755d99cd3917303c8142f88e7cb7ee1f,4057550975
09f46a5452a13e745ad56985d3b2283a2f94bc589854ba8b1902d9398ff149,2267677330
f6d12a74ce7a38f614930be7782df18f0c9e574a084558db14ee7f36df8fd84e,2182570412
8a77839757155b29ae6a45d273d8e1d3fa30fd17257bd6bf1584726544e10788ce,3204905083
e8d8a06cf4304d52b9acd05c87b110d9f82d204f20226dc3fdfc6258a3b17b99a4cc,446833304
70ab36603a29d02353e7a8d46ed712b936b41a8126991d79fc440edb1b6b823785873d,1566745858
d2da81bf6e64ebe0e9ca980858b3f4be793c1eba9cd12f7068976f2af7cb765617933935,756694818
325d384db11820ead0ce01508bb48b0d7a5978b4258c2fa839a94766a152afbd5000a59323,1776252350
768185f0813d54109c003ca98fe655b1afb0a0c83ef74bb714b67caa1de9f73e51c6966ab34e,4052096980
c80b91591cee2b9c4832ce78c5c8b669e88ad17a7cc347de275d259c95243135243519268e1cb3,4219561546
46e8dfab41c624ccb2ea32bfab704a9a70c56637a948c0de26644f9d722f4dfb38a48c2136f775a4,1604560207
9898561f9066ef0d8f953bc369d3f9754a60f22d65a65d88bd4c87156ce1ba88c703f36d9c434c2309,494013212
6af588de96d3324afc50548dc50813ddfa2318c558ab5dd474d4dc00330e23ff957b17bfdc51ac21e613,3103998812
aca936976a084955477a79f1631c2ba69ae3903fa656a0d23f9fb8ef6bec1cab6897c75d80948a8fc4a272,2315319807
70ce4700c40c76079cf13c2ef9ed9b78a180c2604e1c794ff7dc546923f62483febe96de30fd3f60241dd874,2536909104
4254c20941c69f30b25c33e55b89eaa701c87401c8276c5e8677ff895f4944b1570952fba7b1ab2225bcbbf5eb,3972006302
3823c7b278a4e2fa40413496f7d808c25f52dff3de8a94e4049572b9cb01e4797a93c12cccb13c83ad6b57ff9022,3944392720
9dd8d8df906e76b9692ec4cc3d3788687c899e84ecae5a6edf5083e5766a364a4d96ec2ab6406d57508cc53370b8b4,3141407353
b51de723f1528850ed33d563c353cee1f833896751848c8bb036f7fef76dd33bcd9befcb203f121ddcf59b4cb5bdd816,815698118
a019fba1c3b91e8638017c8dd61370191bfcc1a8c79319a4ba709bf70c6fb7375d05b4a78652543f0a67c998ed9b732ab1,2286835993
337b13f9eeb8e4b5ec225d6bf80bbb1a4809b97fed8c21f4ae9105fba9069bf6264e92cb032023d35f985b6df240835a7995,3838157893
786439490f78397f63ae717cfbaf00e6dc5572d4e056fb9a1c5c211aa131fcc6370630aa7a6c443bffd321f138aded4c45a5f3,4039105574
eee35fd7caf8885720ed2d900cb6771d06ffce2beab4f626007b6df9e4cf0a36d97704ef0cc9993e53c021469d01d295fb94d383,2004456023
e850b2677aa2f9f015f4a7064a64eff2ad465a1cdc480117b849febd0ddd54561b45e8ce58a3f3d9d2b62c032ce04a8a6811b0df70,3626241307
029e169614cbb5a233f05110f383abb5c3ff3c0f3d20e4ee19a9cbaa5fb077389b37f2732803664d2a6a6c3e67ccc3e0511d1e5c5ee5,2567329767
93d79c1f7fdd9f0fa3f26f5ca908fc278221dba503b79681889dbbda83b57a70e0d3f8511ffff3b9c6a14ecf858672fedcd2a32e5f4700,2883503138
b3ae4a679c0b30ce8071f080904002855ef118771abd995fb71fcbd89fd653d38ccc04b97bd31f0bca300209dea13c6e5a34ff3ad3af0dda,1093471357
d1d8cda7ac4394498704fe3df4b06e1427b8c30733859fdb53627b217c694c70d7c0ca40d6fbea557d941680804f1a6c31147eae5b3c04ee1e,2145989092
497ebba4cc2eb610243791e7e86b34470b9f1d4aeb0886079d489c1cab1decd04241cd188843f53ac41ad447318b183e47334d2ac5ee55e7b587,1220025688
0e0605b7c295b1b73b67cbdffd93e59f54acb72e3c889d6f4203e5b2a53527f6b649b51e749f3b39c81f1fcb90fe00a3a8ce273fd4036246444e05,2910539475
9704265fe888a17efd0feb2688c451be4fd45c290ddbbd14812f8c37e2d0088cff92b1006df146ebdf200a1089b5acb6778b1ab44baa26d9e4902a2b,170153634
c3ef13fd3760266a23a265c9466620ffd083445f95b93c03152c92e4eac264a08d77764a48cda78408ebf2d082a1495144959e6006a01f08ab913f77a2,2281187265
b88a1d1787683dc7890ee95eecdada07735ea18b852f6a3e825873f882b9ca7d6bead77235990c98324566604aae9d4f8a89a7c290860d344d5764a07e5a,1698011797
48dfafb932e42dacdc45b20113975929badcebee81de4fae766cecbbbd1c73eca6bcd5c807ca251072f8cc14bda4fc7de62f9294235a95fd1fa4729607263e,220552571
54079194506a9301ccc567ef04243d82e8dbcd72c15c42b2ed84c6f9d4dc855301ed943631b70c88fa0681a24b1ed60b9cbea96c0bb01571fd077f270275280b,209725301
6d84d47c3d5d3ee1824709459f85c534eaadba328dd14f17086de5b695754ccc255e34b347705488d1ae5e4f146c006595b8fca1497731b4b2fbb2a000c09f03d0,98428135
11d9467e1085da705ff26ab1b7a2da2e5e36690d199ccc26fc37f45069a37d8ca247a6f20cfad1f81a7ee18cc6913092f3255955b71de590aed058ad60c14013896e,3778535742
b1bd9625dee88b0d574f51d837f4b7abd8d0aaafdbf3f11ca29b99414206a73e4b2193eb9aa413613002d04ecbd89d6ed77ea9199c51b2b2d9c9f411fa123372bb1f37,3292707334
6fcb009a720fd20a3d62cb5c5cd1e9cedccc781d3bf682e55ca95a96b9b6b6ec2e12851f6361fe1007b56769003a7d724542623ecbdb066610afea08889c2532cfdf3d01,90935335
829c98b045884362898e919438948cc1998173f83cc1a852641929bd6fd0d2ca527e2889afc05be97835792207de12cf195cd9936fd32bb51e99d09a360caf83b987913d53,3266691729
ce105adbff1de33f102813b98174e5a38698ab7c2a40376e5d730b233610bced7d4ac21999cc4425a380948f819ec4784cc6d9163693eedc4fee6cf06d5940a412ce413dd0d0,1059134894
b6cd77cda1fefffb2821de5fb7e374b55c5f1b556dff0128391fee62310e335661c32fb2190c8ced070cda68e15cc9c46536c0379c37ea92cc68942fce66ee2623d0057ad39364,372517435
69e6ccc80cafd5ec829a803142026458b175870df156f1fb4f91fff219225802cd1f3756ec2abbecb4ac0a1f13080a37d55f1b85bb76ab6d390bae15c575201615056f73f62cd290,3259285081
5441383730ce2ea0f2d12466660b41be13f20679eabb6ddd261200c498a10a6f33e97e460bf1418a96c68be0c845b15a9a967a86ce87e3bb6034dac58cf5ef29a4a625c24da21b6923,4141288646
b95cef95daaa08890ce453aeafa330e143f20b59ce7d5a881b37fc2579676abc3d5901b6b083ce87dbed9370648d28f926f5ad1ff51890f9934dbd40bfbbc1c9322827ec2643b7b56ada,1573022474
15b8b95578e6818535b0a887750cede1fb9ca83c642ee9ca4871d8d8c52041618a453a9cedea44785e02535b22e55aa231b3a6a1587e9dc35d9c1963921e895a0f9f88032d2421288aab47,1740119189
6e35d0cdd082caaed6879cc9af89b26f2fcb53a33443d440b339398b62cbc536fb5b75dda8bb0d03fbba8f3281ff35abb8cf0c11474417d43e0f6f3125e140b63e31072784cdf5d4243e7a91,3199177924
bf75354aa545e4bb26e7cfcc5b34fdb9ddfd1f0f9ed905ea1eb5bd00d0e576c086761fc8047c8bfb9f96615df4e7d53fb158688bf2844ea8f74656b4594b6f506ea7ee096a9865d476f1521746,3443288432
26e37078c9b755364bbcc199c21cd0a69179b487637d44459ac863b4c2342d99e8560019f33a2d4b818b3ed3414c45b675c3c3e3092e8c49f517a95f4472cfb1aa90658d68c37c79b9a2eb3e6b8e,3759080086
05e440d7559616dd104db759158e0835559aeae5d1e537dc1ff21dcdc76030415cc49d18487bc6470bc0c09b19f57e551c3aadafe89f63e9fb8d620e6c3021b47f88418ed84cacd95f7c6f8494cab1,3054386339
c97c4b810ab52836552445924f9affcd9be2d55b519cc816edf6bc4f3a1cd914d32424785a34f62c3331bb68aaad9e825e2ce57be3f73488d693cd816c6b9e0a23e3ba7b591fee14c435c83dacf57da9,422224086
03d7282a6e9ed9f93dec3e7a59bfa2c0082ff818507eacb58e3c11e480a25339e419d624f742b723398ef21a59ed38e61f7429ce0b94d9859d0e7f66973acf7290571d7f2b1208e057600953bab4adff73,2821631940
